region,year,wastewater,chemical oxygen,ammonia nitrogen,so,no,smoke and powder,gdp
上海市,2001,195029,30.5,,47.3,,15.3458,5210.12
江蘇省,2001,429400,83.1,,114.8,,69.7107,9456.84
浙江省,2001,242571,58,,59.2,,51.0557,6898.34
安徽省,2001,135793,41.7,,39.6,,51.7113,3246.71
福建省,2001,131511,31.4,,20,,26.0238,4072.85
江西省,2001,99369,41.5,,30.6,,37.5891,2175.68
山東省,2001,235271,92.2,,172.2,,129.1688,9195.04
河南省,2001,234198,76,,89.7,,140.0153,5533.01
湖北省,2001,222995,66.8,,54,,66.128,3880.53
湖南省,2001,207750,71,,76.2,,107.6124,3831.9
廣東省,2001,511411,110.5,,97.3,,56.1359,12039.25
廣西壯族自治區,2001,176457,82.7,,69.7,,95.2275,2279.34
海南省,2001,23395,7,,2,,2.2835,579.17
重慶市,2001,126515,25.4,,72.2,,40.4196,1976.86
四川省,2001,218742,99.2,,113.5,,142.0371,4293.49
貴州省,2001,55697,20.7,,138.1,,74.5145,1133.27
雲南省,2001,64152,30.8,,35.7,,33.2965,2138.31
西藏自治區,2001,1694,1.1,,0.1,,0.3208,139.16
陝西省,2001,64917,33.4,,61.9,,65.7315,2010.62
甘肅省,2001,37967,12.1,,37,,29.1751,1125.37
青海省,2001,11831,3.3,,3.5,,10.5715,300.13
寧夏回族自治區,2001,19724,18.7,,20,,22.1651,337.44
新疆維吾爾自治區,2001,47564,20.1,,30,,29.6401,1491.6
北京市,2002,93573,15.2,,19.2,,12.7385,4315
天津市,2002,49709,10.3,,23.5,,12.1693,2150.76
河北省,2002,173491,64,,127.9,,136.816,6018.28
山西省,2002,90373,31,,119.9,,150.0797,2324.8
內蒙古自治區,2002,47660,23.8,,73.1,,56.3926,1940.94
遼寧省,2002,189218,59.3,,79.3,,97.5254,5458.22
吉林省,2002,85325,35.7,,26.5,,40.4777,2348.54
黑龍江省,2002,116584,51.4,,28.7,,56.9209,3637.2
上海市,2002,192064,33,,44.7,,12.2418,5741.03
江蘇省,2002,432016,78.4,,112,,61.1483,10606.85
浙江省,2002,259099,57.8,,62.4,,52.3219,8003.67
安徽省,2002,142748,41.1,,39.6,,48.4077,3519.72
福建省,2002,136933,28.2,,19.3,,23.1122,4467.55
江西省,2002,105603,39.1,,29.3,,39.7305,2450.48
山東省,2002,230709,86,,169,,122.2621,10275.5
河南省,2002,238539,74.3,,93.7,,136.4944,6035.48
湖北省,2002,232347,66.3,,53.9,,63.1123,4212.82
湖南省,2002,220177,74.1,,74.3,,104.2617,4151.54
廣東省,2002,489453,95.2,,97.4,,52.6639,13502.42
